id,name,slots,diet,cuisines,country,default_qty,min_qty,max_qty,qty_step,unit,protein_per_unit,kcal_per_unit,difficulty,prep_time_min,allergens,role,default_side,grams_per_unit
b-moong-chilla,Moong Dal Chilla,breakfast,veg,north-indian,IN,2,1,4,1,piece,6,90,easy,20,,main,,60
b-besan-chilla,Besan Chilla with Paneer Stuffing,breakfast,veg,north-indian,IN,2,1,4,1,piece,8,140,easy,20,dairy,main,,80
b-paneer-bhurji,Paneer Bhurji,"breakfast,dinner",veg,north-indian,IN,1,0.5,2,0.5,bowl,18,280,easy,15,dairy,main,,200
b-poha-peanut,Poha with Peanuts and Curd,breakfast,veg,north-indian,IN,1,0.5,2,0.5,bowl,10,320,easy,15,"peanut,dairy",main,,250
b-masala-oats,Masala Oats cooked in Milk,breakfast,veg,"north-indian,continental",IN,1,0.5,2,0.5,bowl,11,260,easy,10,dairy,main,,250
b-idli-sambar,Idli,"breakfast,dinner",veg,south-indian,IN,3,2,6,1,piece,3,60,medium,25,,main,side-sambar,50
b-upma-peanut,Vegetable Upma with Peanuts,breakfast,veg,south-indian,IN,1,0.5,2,0.5,bowl,8,300,easy,20,peanut,main,,250
b-sprouts-salad,Moong Sprouts Salad,"breakfast,snack",veg,north-indian,IN,1,0.5,3,0.5,bowl,12,180,easy,10,,main,,150
b-dahi-seeds,Dahi Bowl with Chia and Pumpkin Seeds,"breakfast,snack",veg,north-indian,IN,1,0.5,2,0.5,bowl,12,200,easy,5,dairy,main,,200
b-paneer-paratha,Paneer Paratha with Curd,"breakfast,lunch",veg,north-indian,IN,2,1,3,1,piece,9,260,medium,25,"gluten,dairy",main,,100
b-greek-yogurt,Greek Yogurt with Fruit and Seeds,"breakfast,snack",veg,continental,US,1,0.5,2,0.5,bowl,17,220,easy,5,dairy,main,,200
b-pb-toast,Peanut Butter Toast,"breakfast,snack",veg,"continental,north-indian",US,2,1,4,1,slice,6,190,easy,5,"gluten,peanut",main,,40
b-overnight-oats,Overnight Oats with Chia and Milk,breakfast,veg,continental,US,1,0.5,2,0.5,bowl,14,320,easy,10,dairy,main,,250
b-daliya,Vegetable Daliya,"breakfast,dinner",veg,north-indian,IN,1,0.5,2,0.5,bowl,9,220,easy,25,gluten,main,,250
b-eggs-bhurji,Eggs Bhurji,"breakfast,dinner",egg,north-indian,IN,3,2,6,1,piece,6,90,easy,10,egg,main,,55
b-masala-omelette,Masala Omelette,"breakfast,dinner",egg,north-indian,IN,3,2,6,1,piece,6,95,easy,10,egg,main,,60
b-boiled-eggs,Boiled Eggs with Chaat Masala,"breakfast,snack",egg,north-indian,IN,3,2,6,1,piece,6,78,easy,12,egg,main,,50
b-egg-paratha,Egg Paratha,"breakfast,lunch",egg,north-indian,IN,2,1,3,1,piece,9,240,medium,20,"egg,gluten",main,,110
b-keema-toast,Chicken Keema on Toast,breakfast,non-veg,"north-indian,continental",IN,1,0.5,2,0.5,serving,25,350,medium,20,gluten,main,,180
l-rajma-chawal,Rajma Curry,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,14,260,medium,40,,main,side-steamed-rice,250
l-chole-rice,Chole (Chickpea Curry),"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,13,290,medium,40,,main,side-steamed-rice,250
l-dal-tadka-roti,Dal Tadka,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,12,230,medium,30,,main,side-roti,200
l-paneer-tikka-bowl,Paneer Tikka Rice Bowl,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,28,520,medium,30,dairy,main,,350
l-soya-chunk-curry,Soya Chunk Curry,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,26,230,medium,30,soy,main,side-steamed-rice,250
l-tofu-bhurji-roti,Tofu Bhurji,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,18,210,easy,20,soy,main,side-roti,200
l-kadhi-chawal,Kadhi,lunch,veg,north-indian,IN,1,0.5,2,0.5,serving,8,180,medium,35,dairy,main,side-steamed-rice,200
l-veg-pulao-raita,Vegetable Pulao,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,8,320,medium,30,,main,side-raita,250
l-quinoa-chickpea,Quinoa Chickpea Salad,lunch,veg,continental,GR,1,0.5,2,0.5,bowl,15,350,easy,20,,main,,300
l-paneer-wrap,Paneer Tikka Wrap,"lunch,snack",veg,"north-indian,continental",IN,1,1,3,1,piece,20,380,easy,15,"gluten,dairy",main,,180
l-dal-makhani-roti,Dal Makhani,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,11,350,hard,50,dairy,main,side-roti,200
l-palak-paneer-roti,Palak Paneer,"lunch,dinner",veg,north-indian,IN,1,0.5,2,0.5,serving,16,280,medium,35,dairy,main,side-roti,220
l-sambar-rice,Sambar,"lunch,dinner",veg,south-indian,IN,1,0.5,2,0.5,serving,8,150,medium,30,,main,side-steamed-rice,200
l-curd-rice,Curd Rice with Roasted Peanuts,lunch,veg,south-indian,IN,1,0.5,2,0.5,serving,11,320,easy,15,"dairy,peanut",main,,300
l-egg-curry-rice,Egg Curry,"lunch,dinner",egg,north-indian,IN,1,0.5,2,0.5,serving,13,220,medium,30,egg,main,side-steamed-rice,220
l-egg-fried-rice,Egg Fried Rice,"lunch,dinner",egg,chinese,CN,1,0.5,2,0.5,serving,16,450,easy,20,"egg,soy",main,,300
l-chicken-curry-rice,Chicken Curry,"lunch,dinner",non-veg,north-indian,IN,1,0.5,2,0.5,serving,31,320,medium,40,,main,side-steamed-rice,250
l-chicken-biryani,Chicken Biryani,lunch,non-veg,north-indian,IN,1,0.5,2,0.5,serving,30,600,hard,60,dairy,main,,350
l-grilled-chicken-salad,Grilled Chicken Salad,"lunch,dinner",non-veg,continental,US,1,0.5,2,0.5,bowl,32,380,easy,25,,main,,300
